area,number
"section1",1
"section1",1
"section1",1
"section1",2
"section1",1
"section1",3
"section1",2
"section1",1
"section1",1
"section1",2
"section1",1
"section1",1
"section1",1
"section1",1
"section1",1
"section1",1
"section1",2
"section1",1
"section1",2
"section1",1
"section1",1
"section1",1
"section1",1
"section1",3
"section1",1
"section1",1
"section1",1
"section1+"6
"section1+",6
"section1+",4
"section1+",2
"section1+",1
"section1+",1
"section1+",1
"section1+",1
"section1+",3
"section1+",6
"section1+",3
"section1+",3
"section1+",1
"section1+",3
"section1+",4
"section1+",2
"section1+",3
"section1+",6
"section1+",5
"section1+",1
"section1+",1
"section1+",3
"section1+",3
"section1+",6
"section1+",6
"section1+",1
"section1+",5
"section1+",2
"section1+",4
"section1+",6
"section1+",2
"section1+",1
"section1+",3
"section1+",6
"section1+",1
"section1+",1
"section1+",5
"section1+",1
"section1+",2
"section1+",5
"section1+",5
"section1+",2
"section1+",2
"section1+",2
"section1+",3
"section1+",3
"section1+",5
"section1+",1
"section1+",4
"section1+",4
"section1+",3
"section1+",6
"section1+",6
"section1+",1
"section1+",5
"section1+",1
"section1+",5
"section1+",2
"section1+",6
"section1+",1
"section1+",2
"section1+",4
"section1+",1
"section1+",1
"section1+",6
"section1+",4
"section1+",3
"section1+",3
"section1+",3
"section1+",6
"section1+",3
"section1+",4
"section1+",5
"section1+",3
"section1+",6
"section1+",5
"section1+",2
"section1+",3
"section1+",6
"section1+",4
"section1+",3
"section1+",2
"section1+",3
"section1+",6
"section1+",2
"section1+",4
"section1+",6
"section1+",6
"section1+",2
"section1+",4
"section1+",1
"section1+",1
"section1+",1
"section1+",4
"section1+",4
"section1+",5
"section1+",3
"section1+",5
"section1+",6
"section1+",5
"section1+",1
"section1+",5
"section1+",1
"section1+",5
"section1+",2
"section1+",6
"section1+",1
"section1+",2
"section1+",4
"section1+",1
"section1+",1
"section1+",6
"section1+",4
"section1+",3
"section1+",3
"section1+",3
"section1+",6
"section1+",3
"section1+",4
"section1+",5
"section1+",3
"section1+",6
"section1+",5
"section1+",2
"section1+",3
"section1+",6
"section1+",4
"section1+",6
"section1+",6
"section1+",2
"section1+",4
"section1+",1
"section1+",1
section1",1
"section1",1
"section1",1
"section1",1
"section1",1
"section1",1
"section1",2
"section1",1
"section1",2
"section1",1
"section1",1
"section1",1
"section1",1
"section1",3
"section1",1
"section1",1
"section1",1
"section1+"6
"section1+",6
"section1+",4
"section1+",4
"section1+",5
"section1+",3
"section1+",5
"section1+",6
"section1+",5
"section1+",1
"section1+",5
